ds_id_src,ds_nm_src,var_id_src,var_nm_src,ds_id_dst,ds_nm_dst,join_type_id,join_type,join_str
00017,RADAR.RADAR_CCA_ACCOUNT_STOCK,,,00016,RADAR.T_SME_OBS_CCA,00001,row append,insert into RADAR.T_SME_OBS_CCA
00018,RADAR.D_RADAR_CCA_ACCT_CUSTOMER_LINK,,,00016,RADAR.T_SME_OBS_CCA,00001,row append,insert into RADAR.T_SME_OBS_CCA
00019,RADAR.D_RADAR_CCA_ACCT_CUST_GRP_LINK,,,00016,RADAR.T_SME_OBS_CCA,00001,row append,insert into RADAR.T_SME_OBS_CCA
00017,RADAR.RADAR_CCA_ACCOUNT_STOCK,00410,"('N_ACCT',)",00018,RADAR.D_RADAR_CCA_ACCT_CUSTOMER_LINK,00002,left join,RADAR.RADAR_CCA_ACCOUNT_STOCK D_RADAR_CCA_ACCOUNT_STOCK left join RADAR.D_RADAR_CCA_ACCT_CUSTOMER_LINK D_RADAR_CCA_ACCT_CUSTOMER_LINK on ( D_RADAR_CCA_ACCOUNT_STOCK.N_ACCT = D_RADAR_CCA_ACCT_CUSTOMER_LINK.N_ACCT and D_RADAR_CCA_ACCT_CUSTOMER_LINK.D_MTH = '01-OCT-2019' )
00017,RADAR.RADAR_CCA_ACCOUNT_STOCK,00410,"('N_ACCT',)",00019,RADAR.D_RADAR_CCA_ACCT_CUST_GRP_LINK,00002,left join,RADAR.RADAR_CCA_ACCOUNT_STOCK D_RADAR_CCA_ACCOUNT_STOCK left join RADAR.D_RADAR_CCA_ACCT_CUST_GRP_LINK D_RADAR_CCA_ACCT_CUST_GRP_LINK on ( D_RADAR_CCA_ACCOUNT_STOCK.N_ACCT = D_RADAR_CCA_ACCT_CUST_GRP_LINK.N_ACCT and D_RADAR_CCA_ACCT_CUST_GRP_LINK.D_MTH = '01-OCT-2019' )
00022,RADAR.RADAR_IG_CONTRACT_STOCK,,,00021,RADAR.T_SME_OBS_OLL_CNRCT,00003,union all,"insert into RADAR.T_SME_OBS_OLL_CNRCT
select
RADAR_IG_CONTRACT_STOCK.D_MTH,
RADAR_IG_CONTRACT_STOCK.N_CONTRACT,
RADAR_IG_CONTRACT_STOCK.N_ACCT,
null as INSTRUMENT_CURRENCY,
RADAR_IG_CONTRACT_STOCK.A_DRAWN,
RADAR_IG_CONTRACT_STOCK.A_LIMIT,
RADAR_IG_CONTRACT_STOCK.C_PFMNC_FINCL,
RADAR_IG_CONTRACT_STOCK.N_TYPE_SECRY,
RADAR_IG_CONTRACT_STOCK.ID_SYS,
RADAR_IG_CONTRACT_STOCK.C_GRP_PROD,
RADAR_IG_CONTRACT_STOCK.C_PROD,
RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_IG_CONTRACT_STOCK.N_SEQ_OLL,
case when RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL is not null
then SUBSTR(RADAR_IG_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')
||LPAD(RADAR_IG_CONTRACT_STOCK.N_SEQ_OLL ,2,'0')
else null
end as N_ACCT_NEW
from
RADAR.RADAR_IG_CONTRACT_STOCK RADAR_IG_CONTRACT_STOCK
where
RADAR_IG_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
union all
select
RADAR_MERCHNT_CONTRACT_STOCK.D_MTH,
RADAR_MERCHNT_CONTRACT_STOCK.N_CONTRACT,
RADAR_MERCHNT_CONTRACT_STOCK.N_ACCT,
null as INSTRUMENT_CURRENCY,
RADAR_MERCHNT_CONTRACT_STOCK.A_DRAWN,
null as A_LIMIT,
null as C_PFMNC_FINCL,
null as N_TYPE_SECRY,
RADAR_MERCHNT_CONTRACT_STOCK.ID_SYS,
RADAR_MERCHNT_CONTRACT_STOCK.C_GRP_PROD,
RADAR_MERCHNT_CONTRACT_STOCK.C_PROD,
RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_MERCHNT_CONTRACT_STOCK.N_SEQ_OLL,
case when RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL is not null then
SUBSTR(RADAR_MERCHNT_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')
||LPAD(RADAR_MERCHNT_CONTRACT_STOCK.N_SEQ_OLL ,2,'0')
else
RADAR_MERCHNT_CONTRACT_STOCK.N_CONTRACT
end as N_ACCT_NEW
from
RADAR.RADAR_MERCHNT_CONTRACT_STOCK RADAR_MERCHNT_CONTRACT_STOCK
where
RADAR_MERCHNT_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
union all
select
RADAR_OTL_CONTRACT_STOCK.D_MTH,
RADAR_OTL_CONTRACT_STOCK.N_CONTRACT,
RADAR_OTL_CONTRACT_STOCK.N_ACCT,
RADAR_OTL_CONTRACT_STOCK.INSTRUMENT_CURRENCY,
case when RADAR_OTL_CONTRACT_STOCK.INSTRUMENT_CURRENCY = 'AUD' then
RADAR_OTL_CONTRACT_STOCK.A_DRAWN
else 0
end as A_DRAWN,
null as A_LIMIT,
null as C_PFMNC_FINCL,
null as N_TYPE_SECRY,
RADAR_OTL_CONTRACT_STOCK.ID_SYS,
RADAR_OTL_CONTRACT_STOCK.C_GRP_PROD,
RADAR_OTL_CONTRACT_STOCK.C_PROD,
RADAR_OTL_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_OTL_CONTRACT_STOCK.N_SEQ_OLL,
SUBSTR(RADAR_OTL_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_OTL_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')||LPAD(RADAR_OTL_CONTRACT_STOCK.N_SEQ_OLL ,2,'0') as N_ACCT_NEW
from
RADAR.RADAR_OTL_CONTRACT_STOCK RADAR_OTL_CONTRACT_STOCK
where
RADAR_OTL_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
"
00023,RADAR.RADAR_MERCHNT_CONTRACT_STOCK,,,00021,RADAR.T_SME_OBS_OLL_CNRCT,00003,union all,"insert into RADAR.T_SME_OBS_OLL_CNRCT
select
RADAR_IG_CONTRACT_STOCK.D_MTH,
RADAR_IG_CONTRACT_STOCK.N_CONTRACT,
RADAR_IG_CONTRACT_STOCK.N_ACCT,
null as INSTRUMENT_CURRENCY,
RADAR_IG_CONTRACT_STOCK.A_DRAWN,
RADAR_IG_CONTRACT_STOCK.A_LIMIT,
RADAR_IG_CONTRACT_STOCK.C_PFMNC_FINCL,
RADAR_IG_CONTRACT_STOCK.N_TYPE_SECRY,
RADAR_IG_CONTRACT_STOCK.ID_SYS,
RADAR_IG_CONTRACT_STOCK.C_GRP_PROD,
RADAR_IG_CONTRACT_STOCK.C_PROD,
RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_IG_CONTRACT_STOCK.N_SEQ_OLL,
case when RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL is not null
then SUBSTR(RADAR_IG_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')
||LPAD(RADAR_IG_CONTRACT_STOCK.N_SEQ_OLL ,2,'0')
else null
end as N_ACCT_NEW
from
RADAR.RADAR_IG_CONTRACT_STOCK RADAR_IG_CONTRACT_STOCK
where
RADAR_IG_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
union all
select
RADAR_MERCHNT_CONTRACT_STOCK.D_MTH,
RADAR_MERCHNT_CONTRACT_STOCK.N_CONTRACT,
RADAR_MERCHNT_CONTRACT_STOCK.N_ACCT,
null as INSTRUMENT_CURRENCY,
RADAR_MERCHNT_CONTRACT_STOCK.A_DRAWN,
null as A_LIMIT,
null as C_PFMNC_FINCL,
null as N_TYPE_SECRY,
RADAR_MERCHNT_CONTRACT_STOCK.ID_SYS,
RADAR_MERCHNT_CONTRACT_STOCK.C_GRP_PROD,
RADAR_MERCHNT_CONTRACT_STOCK.C_PROD,
RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_MERCHNT_CONTRACT_STOCK.N_SEQ_OLL,
case when RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL is not null then
SUBSTR(RADAR_MERCHNT_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')
||LPAD(RADAR_MERCHNT_CONTRACT_STOCK.N_SEQ_OLL ,2,'0')
else
RADAR_MERCHNT_CONTRACT_STOCK.N_CONTRACT
end as N_ACCT_NEW
from
RADAR.RADAR_MERCHNT_CONTRACT_STOCK RADAR_MERCHNT_CONTRACT_STOCK
where
RADAR_MERCHNT_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
union all
select
RADAR_OTL_CONTRACT_STOCK.D_MTH,
RADAR_OTL_CONTRACT_STOCK.N_CONTRACT,
RADAR_OTL_CONTRACT_STOCK.N_ACCT,
RADAR_OTL_CONTRACT_STOCK.INSTRUMENT_CURRENCY,
case when RADAR_OTL_CONTRACT_STOCK.INSTRUMENT_CURRENCY = 'AUD' then
RADAR_OTL_CONTRACT_STOCK.A_DRAWN
else 0
end as A_DRAWN,
null as A_LIMIT,
null as C_PFMNC_FINCL,
null as N_TYPE_SECRY,
RADAR_OTL_CONTRACT_STOCK.ID_SYS,
RADAR_OTL_CONTRACT_STOCK.C_GRP_PROD,
RADAR_OTL_CONTRACT_STOCK.C_PROD,
RADAR_OTL_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_OTL_CONTRACT_STOCK.N_SEQ_OLL,
SUBSTR(RADAR_OTL_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_OTL_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')||LPAD(RADAR_OTL_CONTRACT_STOCK.N_SEQ_OLL ,2,'0') as N_ACCT_NEW
from
RADAR.RADAR_OTL_CONTRACT_STOCK RADAR_OTL_CONTRACT_STOCK
where
RADAR_OTL_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
"
00024,RADAR.RADAR_OTL_CONTRACT_STOCK,,,00021,RADAR.T_SME_OBS_OLL_CNRCT,00003,union all,"insert into RADAR.T_SME_OBS_OLL_CNRCT
select
RADAR_IG_CONTRACT_STOCK.D_MTH,
RADAR_IG_CONTRACT_STOCK.N_CONTRACT,
RADAR_IG_CONTRACT_STOCK.N_ACCT,
null as INSTRUMENT_CURRENCY,
RADAR_IG_CONTRACT_STOCK.A_DRAWN,
RADAR_IG_CONTRACT_STOCK.A_LIMIT,
RADAR_IG_CONTRACT_STOCK.C_PFMNC_FINCL,
RADAR_IG_CONTRACT_STOCK.N_TYPE_SECRY,
RADAR_IG_CONTRACT_STOCK.ID_SYS,
RADAR_IG_CONTRACT_STOCK.C_GRP_PROD,
RADAR_IG_CONTRACT_STOCK.C_PROD,
RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_IG_CONTRACT_STOCK.N_SEQ_OLL,
case when RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL is not null
then SUBSTR(RADAR_IG_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_IG_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')
||LPAD(RADAR_IG_CONTRACT_STOCK.N_SEQ_OLL ,2,'0')
else null
end as N_ACCT_NEW
from
RADAR.RADAR_IG_CONTRACT_STOCK RADAR_IG_CONTRACT_STOCK
where
RADAR_IG_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
union all
select
RADAR_MERCHNT_CONTRACT_STOCK.D_MTH,
RADAR_MERCHNT_CONTRACT_STOCK.N_CONTRACT,
RADAR_MERCHNT_CONTRACT_STOCK.N_ACCT,
null as INSTRUMENT_CURRENCY,
RADAR_MERCHNT_CONTRACT_STOCK.A_DRAWN,
null as A_LIMIT,
null as C_PFMNC_FINCL,
null as N_TYPE_SECRY,
RADAR_MERCHNT_CONTRACT_STOCK.ID_SYS,
RADAR_MERCHNT_CONTRACT_STOCK.C_GRP_PROD,
RADAR_MERCHNT_CONTRACT_STOCK.C_PROD,
RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_MERCHNT_CONTRACT_STOCK.N_SEQ_OLL,
case when RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL is not null then
SUBSTR(RADAR_MERCHNT_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_MERCHNT_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')
||LPAD(RADAR_MERCHNT_CONTRACT_STOCK.N_SEQ_OLL ,2,'0')
else
RADAR_MERCHNT_CONTRACT_STOCK.N_CONTRACT
end as N_ACCT_NEW
from
RADAR.RADAR_MERCHNT_CONTRACT_STOCK RADAR_MERCHNT_CONTRACT_STOCK
where
RADAR_MERCHNT_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
union all
select
RADAR_OTL_CONTRACT_STOCK.D_MTH,
RADAR_OTL_CONTRACT_STOCK.N_CONTRACT,
RADAR_OTL_CONTRACT_STOCK.N_ACCT,
RADAR_OTL_CONTRACT_STOCK.INSTRUMENT_CURRENCY,
case when RADAR_OTL_CONTRACT_STOCK.INSTRUMENT_CURRENCY = 'AUD' then
RADAR_OTL_CONTRACT_STOCK.A_DRAWN
else 0
end as A_DRAWN,
null as A_LIMIT,
null as C_PFMNC_FINCL,
null as N_TYPE_SECRY,
RADAR_OTL_CONTRACT_STOCK.ID_SYS,
RADAR_OTL_CONTRACT_STOCK.C_GRP_PROD,
RADAR_OTL_CONTRACT_STOCK.C_PROD,
RADAR_OTL_CONTRACT_STOCK.C_TYPE_OLL,
RADAR_OTL_CONTRACT_STOCK.N_SEQ_OLL,
SUBSTR(RADAR_OTL_CONTRACT_STOCK.N_ACCT,5) || LPAD(RADAR_OTL_CONTRACT_STOCK.C_TYPE_OLL ,2,'0')||LPAD(RADAR_OTL_CONTRACT_STOCK.N_SEQ_OLL ,2,'0') as N_ACCT_NEW
from
RADAR.RADAR_OTL_CONTRACT_STOCK RADAR_OTL_CONTRACT_STOCK
where
RADAR_OTL_CONTRACT_STOCK.D_MTH = '01-OCT-2019'
"
00022,RADAR.RADAR_IG_CONTRACT_STOCK,,,00021,RADAR.T_SME_OBS_OLL_CNRCT,00001,row append,insert into RADAR.T_SME_OBS_OLL_CNRCT
00023,RADAR.RADAR_MERCHNT_CONTRACT_STOCK,,,00021,RADAR.T_SME_OBS_OLL_CNRCT,00001,row append,insert into RADAR.T_SME_OBS_OLL_CNRCT
00024,RADAR.RADAR_OTL_CONTRACT_STOCK,,,00021,RADAR.T_SME_OBS_OLL_CNRCT,00001,row append,insert into RADAR.T_SME_OBS_OLL_CNRCT
00027,RADAR.RADAR_OLL_ACCOUNT_STOCK,,,00026,RADAR.T_SME_OBS_OLL,00001,row append,insert into RADAR.T_SME_OBS_OLL
00028,RADAR.D_RADAR_OLL_ACCT_CUSTOMER_LINK,,,00026,RADAR.T_SME_OBS_OLL,00001,row append,insert into RADAR.T_SME_OBS_OLL
00029,RADAR.D_RADAR_OLL_ACCT_CUST_GRP_LINK,,,00026,RADAR.T_SME_OBS_OLL,00001,row append,insert into RADAR.T_SME_OBS_OLL
00021,RADAR.T_SME_OBS_OLL_CNRCT,,,00026,RADAR.T_SME_OBS_OLL,00001,row append,insert into RADAR.T_SME_OBS_OLL
00027,RADAR.RADAR_OLL_ACCOUNT_STOCK,00556,"('N_ACCT',)",00028,RADAR.D_RADAR_OLL_ACCT_CUSTOMER_LINK,00002,left join,RADAR.RADAR_OLL_ACCOUNT_STOCK D_RADAR_OLL_ACCOUNT_STOCK left join RADAR.D_RADAR_OLL_ACCT_CUSTOMER_LINK D_RADAR_OLL_ACCT_CUSTOMER_LINK on ( D_RADAR_OLL_ACCOUNT_STOCK.N_ACCT = D_RADAR_OLL_ACCT_CUSTOMER_LINK.N_ACCT and D_RADAR_OLL_ACCT_CUSTOMER_LINK.D_MTH = '01-OCT-2019' )
00027,RADAR.RADAR_OLL_ACCOUNT_STOCK,00556,"('N_ACCT',)",00029,RADAR.D_RADAR_OLL_ACCT_CUST_GRP_LINK,00002,left join,RADAR.RADAR_OLL_ACCOUNT_STOCK D_RADAR_OLL_ACCOUNT_STOCK left join RADAR.D_RADAR_OLL_ACCT_CUST_GRP_LINK D_RADAR_OLL_ACCT_CUST_GRP_LINK on ( D_RADAR_OLL_ACCOUNT_STOCK.N_ACCT = D_RADAR_OLL_ACCT_CUST_GRP_LINK.N_ACCT and D_RADAR_OLL_ACCT_CUST_GRP_LINK.D_MTH = '01-OCT-2019' )
00027,RADAR.RADAR_OLL_ACCOUNT_STOCK,00556,"('N_ACCT',)",00021,RADAR.T_SME_OBS_OLL_CNRCT,00002,left join,RADAR.RADAR_OLL_ACCOUNT_STOCK D_RADAR_OLL_ACCOUNT_STOCK left join RADAR.T_SME_OBS_OLL_CNRCT T_SME_OBS_OLL_CNRCT on ( D_RADAR_OLL_ACCOUNT_STOCK.N_ACCT = T_SME_OBS_OLL_CNRCT.N_ACCT and D_RADAR_OLL_ACCOUNT_STOCK.C_TYPE_OLL = T_SME_OBS_OLL_CNRCT.C_TYPE_OLL and D_RADAR_OLL_ACCOUNT_STOCK.N_SEQ_OLL = T_SME_OBS_OLL_CNRCT.N_SEQ_OLL and T_SME_OBS_OLL_CNRCT.D_MTH = '01-OCT-2019' )
00027,RADAR.RADAR_OLL_ACCOUNT_STOCK,00557,"('C_TYPE_OLL',)",00021,RADAR.T_SME_OBS_OLL_CNRCT,00002,left join,RADAR.RADAR_OLL_ACCOUNT_STOCK D_RADAR_OLL_ACCOUNT_STOCK left join RADAR.T_SME_OBS_OLL_CNRCT T_SME_OBS_OLL_CNRCT on ( D_RADAR_OLL_ACCOUNT_STOCK.N_ACCT = T_SME_OBS_OLL_CNRCT.N_ACCT and D_RADAR_OLL_ACCOUNT_STOCK.C_TYPE_OLL = T_SME_OBS_OLL_CNRCT.C_TYPE_OLL and D_RADAR_OLL_ACCOUNT_STOCK.N_SEQ_OLL = T_SME_OBS_OLL_CNRCT.N_SEQ_OLL and T_SME_OBS_OLL_CNRCT.D_MTH = '01-OCT-2019' )
00027,RADAR.RADAR_OLL_ACCOUNT_STOCK,00558,"('N_SEQ_OLL',)",00021,RADAR.T_SME_OBS_OLL_CNRCT,00002,left join,RADAR.RADAR_OLL_ACCOUNT_STOCK D_RADAR_OLL_ACCOUNT_STOCK left join RADAR.T_SME_OBS_OLL_CNRCT T_SME_OBS_OLL_CNRCT on ( D_RADAR_OLL_ACCOUNT_STOCK.N_ACCT = T_SME_OBS_OLL_CNRCT.N_ACCT and D_RADAR_OLL_ACCOUNT_STOCK.C_TYPE_OLL = T_SME_OBS_OLL_CNRCT.C_TYPE_OLL and D_RADAR_OLL_ACCOUNT_STOCK.N_SEQ_OLL = T_SME_OBS_OLL_CNRCT.N_SEQ_OLL and T_SME_OBS_OLL_CNRCT.D_MTH = '01-OCT-2019' )
00021,RADAR.T_SME_OBS_OLL_CNRCT,,,00031,RADAR.T_SME_OBS_OLL_CNRCT2,00001,row append,insert into RADAR.T_SME_OBS_OLL_CNRCT2
00026,RADAR.T_SME_OBS_OLL,,,00031,RADAR.T_SME_OBS_OLL_CNRCT2,00001,row append,insert into RADAR.T_SME_OBS_OLL_CNRCT2
00021,RADAR.T_SME_OBS_OLL_CNRCT,00464,"('D_MTH',)",00026,RADAR.T_SME_OBS_OLL,00002,left join,RADAR.T_SME_OBS_OLL_CNRCT T_SME_OBS_OLL_CNRCT left join RADAR.T_SME_OBS_OLL T_SME_OBS_OLL on ( T_SME_OBS_OLL_CNRCT.D_MTH = T_SME_OBS_OLL.D_MTH and T_SME_OBS_OLL_CNRCT.N_ACCT_NEW = T_SME_OBS_OLL.N_ACCT )
00021,RADAR.T_SME_OBS_OLL_CNRCT,00477,"('N_ACCT_NEW',)",00026,RADAR.T_SME_OBS_OLL,00002,left join,RADAR.T_SME_OBS_OLL_CNRCT T_SME_OBS_OLL_CNRCT left join RADAR.T_SME_OBS_OLL T_SME_OBS_OLL on ( T_SME_OBS_OLL_CNRCT.D_MTH = T_SME_OBS_OLL.D_MTH and T_SME_OBS_OLL_CNRCT.N_ACCT_NEW = T_SME_OBS_OLL.N_ACCT )
00037,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK,,,00036,RADAR.T_SME_OBS_ESA_APP,00001,row append,insert into RADAR.T_SME_OBS_ESA_APP
00033,RADAR.T_SME_OBS_ESA_APP_RESID,,,00036,RADAR.T_SME_OBS_ESA_APP,00001,row append,insert into RADAR.T_SME_OBS_ESA_APP
00038,RADAR.RADAR_ESA_APP_BUR_IND_LINK,,,00036,RADAR.T_SME_OBS_ESA_APP,00001,row append,insert into RADAR.T_SME_OBS_ESA_APP
00037,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK,00801,"('INTRODUCER_ID',)",00038,RADAR.RADAR_ESA_APP_BUR_IND_LINK,00002,left join,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK D_RADAR_ESA_ACCT_APPLCN_LINK left join RADAR.T_SME_OBS_ESA_APP_RESID T_SME_OBS_ESA_APP_RESID on ( D_RADAR_ESA_ACCT_APPLCN_LINK.INTRODUCER_ID = T_SME_OBS_ESA_APP_RESID.INTRODUCER_ID and D_RADAR_ESA_ACCT_APPLCN_LINK.ORIGINAL_ASST_NO = T_SME_OBS_ESA_APP_RESID.ORIGINAL_ASST_NO and D_RADAR_ESA_ACCT_APPLCN_LINK.ASSESSMENT_NO = T_SME_OBS_ESA_APP_RESID.ASSESSMENT_NO and D_RADAR_ESA_ACCT_APPLCN_LINK.F_APP = 1 )
00037,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK,00802,"('ORIGINAL_ASST_NO',)",00038,RADAR.RADAR_ESA_APP_BUR_IND_LINK,00002,left join,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK D_RADAR_ESA_ACCT_APPLCN_LINK left join RADAR.T_SME_OBS_ESA_APP_RESID T_SME_OBS_ESA_APP_RESID on ( D_RADAR_ESA_ACCT_APPLCN_LINK.INTRODUCER_ID = T_SME_OBS_ESA_APP_RESID.INTRODUCER_ID and D_RADAR_ESA_ACCT_APPLCN_LINK.ORIGINAL_ASST_NO = T_SME_OBS_ESA_APP_RESID.ORIGINAL_ASST_NO and D_RADAR_ESA_ACCT_APPLCN_LINK.ASSESSMENT_NO = T_SME_OBS_ESA_APP_RESID.ASSESSMENT_NO and D_RADAR_ESA_ACCT_APPLCN_LINK.F_APP = 1 )
00037,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK,00804,"('ASSESSMENT_NO',)",00038,RADAR.RADAR_ESA_APP_BUR_IND_LINK,00002,left join,RADAR.D_RADAR_ESA_ACCT_APPLCN_LINK D_RADAR_ESA_ACCT_APPLCN_LINK left join RADAR.T_SME_OBS_ESA_APP_RESID T_SME_OBS_ESA_APP_RESID on ( D_RADAR_ESA_ACCT_APPLCN_LINK.INTRODUCER_ID = T_SME_OBS_ESA_APP_RESID.INTRODUCER_ID and D_RADAR_ESA_ACCT_APPLCN_LINK.ORIGINAL_ASST_NO = T_SME_OBS_ESA_APP_RESID.ORIGINAL_ASST_NO and D_RADAR_ESA_ACCT_APPLCN_LINK.ASSESSMENT_NO = T_SME_OBS_ESA_APP_RESID.ASSESSMENT_NO and D_RADAR_ESA_ACCT_APPLCN_LINK.F_APP = 1 )
